Date(s),Event,Theme/Color,"Location (W/CT, C/SC, USA)",Notes,,
1700,Approx. 450 enslaved people in Connecticut,Social,CT,Source: https://glc.yale.edu/sites/default/files/files/Citizens%20All%20Doc2.pdf,,
1700,First Anti-Slavery Article published in New England (The Selling of Joseph),Legal,USA,Judge Samuel Sewall publishes a pamphlet entitled The Selling of Joseph,,
1701,Carolina Assembly passed curfew law for black people,Legal,SC,"first comprehensive slave law in Carolina was established in 1696, if we were to extend a few years early of the timeline",,
1702,CT law concerning manumission and caring for the destitute (fmr. slaveowners liable),Legal,CT,,,
1707,Act to establish brick lazaratto on Sullivan's House to quarantine people (most of whom were enslaved people),Legal,SC,"an estimated 200,000 total of African slaves quarantined in the lazarettos",,
1708,CT law passed forbidding enslaved people from selling goods to whites,Legal,CT,"Source, pg. 64: https://digitalrepository.trincoll.edu/cgi/viewcontent.cgi?article=1006&context=hartford_papers",,
1708,"a report by governor Johnson show that the SC colony had 4,100 enslaved blacks and 1,400 enslaved Indians (>3960 free white people)",Political,SC,accurate? used to promote colony's posperity,,
1708,Blacks outnumber whites in South Carolina,Social,SC,Source: https://www.thirteen.org/wnet/slavery/timeline/1705.html,,
1710,"""Vendue Master"" title created", Legal,SC,in whom the legal power to auction within the town is concentrated,,
1721,The Assembly merged SC's militiamen and slave patrols,Social,SC,de facto a militia to control the enslaved,,
1722,Assembly passed new Negro Act regarding execution of slave conspirators,Legal,SC,following two uncovered conspiracies and a widespread fear of insurrection,,
1730,1490 enslaved people in CT,Social,CT,Source: https://glc.yale.edu/sites/default/files/files/Citizens%20All%20Doc2.pdf,,
August 1730,A popular account of an aborted Black insurrection,Social,SC,"significance? Fraser Jr., 45",,
1730s,Import duty on slaves provided half of the colony's operating revenue,Economic,SC,,,
1738,Congregational church body in CT determines that enslaved children can be baptized ,Social,CT,"Source: Piersen, 54",,
September 1739,The Stono Rebellion,Social,SC,,,
1740,Indigenous enslavement outlawed in South Carolina,Legal,SC,,,
1740,"SC passes ""Negro Act,"" forbidding learning to read English, assembling freely, growing food, etc. ",Legal,SC,,,
1741,New York Conspiracy,Social,USA,,,
1743,Old Light ministers of CT decide that enslaved congregants may not vote in church matters,Social,,"Source: Piersen, 50",,
1750,Nominal slave prices in SC are at $119.88,Economic,SC,data from probate inventories of SC economy from 1722-1809,,
1757-1762,"about 12,000 black Africans imported into Charleston",Social,SC,"due to wartime scarcity and soaring price of commodities, Fraser Jr., 96",,
